model,samples,positives,threshold,precision,recall,f1,pr_auc,roc_auc,brier_score,false_positive_rate,false_negative_rate,confusion_matrix,total_cost,cost_per_transaction,review_count,review_rate,false_flags,approved_fraud,reviewed_fraud,expected_review_misses,review_threshold,flag_threshold
logistic_regression,6000,136,0.98,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.98,0.98
logistic_regression,6000,136,0.99,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.99,0.99
logistic_regression,6000,136,1.0,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,1.0,1.0
xgboost,6000,136,0.0,0.02266666666666667,1.0,0.04432855280312908,0.038600673048319975,0.6078540044940214,0.02252077310931163,1.0,0.0,"[[0, 5864], [0, 136]]",58640.0,9.773333333333333,0,0.0,5864,0,0,0.0,0.0,0.0
xgboost,6000,136,0.01,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.01,0.01
xgboost,6000,136,0.02,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.02,0.02
xgboost,6000,136,0.03,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.03,0.03
xgboost,6000,136,0.04,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.04,0.04
xgboost,6000,136,0.05,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.05,0.05
xgboost,6000,136,0.06,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.06,0.06
xgboost,6000,136,0.07,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.07,0.07
xgboost,6000,136,0.08,0.0,0.0,0.0,0.038600673048319975,0.6078540044940214,0.02252077310931163,0.0,1.0,"[[5864, 0], [136, 0]]",68000.0,11.333333333333334,0,0.0,0,136,0,0.0,0.08,0.08
